ljf,10200,26
ljf,550,3
sjf,19450,49
ljf,15700,40
ljf,15400,41
ljf,15400,41
fcfs,10450,27
fcfs,10450,27
fcfs,15600,41
fcfs,15600,41
fcfs,15050,41
fcfs,15600,41
fcfs,27800,73
fcfs,27800,73
fcfs,27800,73
fcfs,27800,73
fcfs,27800,73
fcfs,27800,73
fcfs,28100,73
fcfs,28100,73
fcfs,28100,73
fcfs,28100,73
fcfs,28100,73
fcfs,28100,73
fcfs,28100,73
fcfs,28100,73
fcfs,28100,73
fcfs,27600,71
fcfs,27300,71
fcfs,27300,71
fcfs,28150,69
ljf,6100,13
sjf,5950,13
fcfs,6000,13
ljf,15700,40
ljf,15400,41
fcfs,15600,41
fcfs,28150,69
fcfs,27300,71
fcfs,27600,71
ljf,6100,13
sjf,5950,13
fcfs,6000,13
ljf,15700,40
ljf,15400,41
fcfs,15600,41
fcfs,28150,69
fcfs,27300,71
fcfs,27600,71
ljf,15700,40
ljf,15400,41
fcfs,15600,41
fcfs,28150,69
fcfs,27300,71
fcfs,27600,71
ljf,15700,40
ljf,15400,41
fcfs,15600,41
fcfs,28150,69
fcfs,27300,71
fcfs,27600,71
ljf,15700,40
ljf,15400,41
fcfs,15600,41
fcfs,28150,69
fcfs,27300,71
fcfs,27600,71
ljf,15700,40
ljf,15400,41
fcfs,15600,41
fcfs,28150,69
fcfs,27300,71
fcfs,27600,71
ljf,15600,38
ljf,15400,41
fcfs,15600,41
fcfs,28050,70
fcfs,27800,71
fcfs,28000,71
ljf,15600,38
ljf,15400,41
fcfs,15600,41
fcfs,28050,70
fcfs,27800,71
fcfs,28000,71
ljf,15600,38
ljf,15400,41
fcfs,15600,41
fcfs,28050,70
fcfs,27800,71
fcfs,28000,71
